Agency,ErrorStrike,SemiMajor90,SemiMinor90,cluster_flag,cluster_index,comment,day,depth,depthError,eventID,flag,hour,latitude,longitude,magnitude,magnitudeType,minute,month,second,sigmaMagnitude,timeError,year
EMEC,,,,0,0,,29,999.0,,8826,,20,30.300000000000001,31.199999999999999,4.7999999999999998,MW,48,7,1.0,0.0,,1922
EMEC,,,,0,0,,29,30.0,,8839,,3,37.369999999999997,32.729999999999997,5.2000000000000002,MW,36,8,1.0,0.0,,1922
EMEC,,,,0,0,,7,999.0,,8843,,1,28.0,34.0,4.9000000000000004,MW,7,9,1.0,0.0,,1922
EMEC,,,,0,0,,27,10.0,,8889,,18,32.700000000000003,35.409999999999997,4.0,MW,15,2,1.0,0.0,,1923
EMEC,,,,0,0,,8,999.0,,8962,,13,29.199999999999999,31.399999999999999,4.9000000000000004,MW,32,12,1.0,0.0,,1923
EMEC,,,,0,0,,21,33.0,,8965,,14,36.200000000000003,36.0,5.2000000000000002,MW,11,12,1.0,0.0,,1923
GII,,,,0,0,,18,10.0,,41204,,17,34.424700000000001,33.936599999999999,5.9000000000000004,MB,4,2,0.0,0.26266666666666666,,1924
GSHAP_TR,,,,0,33,,18,999.0,,45238,,17,34.799999999999997,34.299999999999997,6.0,MW,4,2,1.0,0.0,,1924
GII,,,,0,20,,27,10.0,,41205,,20,32.705399999999997,36.2012,6.2999999999999998,MD,4,2,0.0,0.29999999999999999,,1924
AM93,,,,0,0,,9,10.0,,70,,21,35.100000000000001,33.100000000000001,4.5999999999999996,MB,34,6,35.0,0.26266666666666666,,1924
AM93,,,,0,35,,10,79.0,,71,,11,36.700000000000003,31.699999999999999,6.0,MB,59,9,39.0,0.26266666666666666,,1924
EMEC,,,,0,0,,13,10.0,,9038,,21,30.800000000000001,35.5,4.5,MW,46,9,1.0,0.0,,1924
GII,,,,0,0,,16,10.0,,41208,,6,33.408700000000003,36.198399999999999,4.2000000000000002,MD,30,3,0.0,0.29999999999999999,,1925
EMEC,,,,0,0,,1,999.0,,9109,,1,37.0,35.299999999999997,5.2000000000000002,MW,1,5,1.0,0.0,,1925
EMEC,,,,0,0,,20,999.0,,9114,,23,30.0,32.0,5.0,MW,27,5,1.0,0.0,,1925
EMEC,,,,0,97,,8,15.0,,9137,,19,37.399999999999999,30.5,5.2000000000000002,MW,42,7,1.0,0.0,,1925
EMEC,,,,0,0,,18,15.0,,9183,,2,37.399999999999999,30.399999999999999,5.2999999999999998,MW,28,12,1.0,0.0,,1925
